customerID,gender,PhoneService,InternetService,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7841-TZDMQ,Male,Yes,DSL,,Month-to-month,Yes,Credit card (automatic),,84.5,Yes
4195-NZGTA,Female,No,DSL,No,Month-to-month,No,Electronic check,25.25,25.25,No
7157-SMCFK,Male,Yes,No,No internet service,Two year,No,Mailed check,19.75,1124.2,No
4709-LKHYG,Female,Yes,No,No internet service,One year,No,Electronic check,20,540.05,No
2504-DSHIH,Male,Yes,Fiber optic,No,Month-to-month,No,Electronic check,86.8,1975.85,No
0699-NDKJM,Female,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,No
9286-BHDQG,Male,No,DSL,,Two year,No,Credit card (automatic),,3139.8,No
0230-WEQUW,,No,,,Two year,Yes,Bank transfer (automatic),,3789.2,No
2040-LDIWQ,Male,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic),84.2,5324.5,No
6496-JDSSB,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),80,624.6,No
9408-SSNVZ,Female,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes
4443-EMBNA,Female,Yes,No,,Two year,No,Bank transfer (automatic),,1836.9,No
6469-MRVET,Male,Yes,No,No internet service,One year,Yes,Electronic check,20.2,20.2,No
0742-MOABM,Male,Yes,DSL,No,Month-to-month,No,Mailed check,50.05,179.35,Yes
5961-VUSRV,Female,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),19.35,219.35,No
6778-JFCMK,Male,No,DSL,Yes,One year,Yes,Mailed check,50.6,1288.75,No
6341-JVQGF,Female,Yes,DSL,Yes,One year,Yes,Mailed check,81.15,2545.75,No
2232-DMLXU,Female,Yes,DSL,,Month-to-month,No,Mailed check,,55.2,Yes
4811-JBUVU,,Yes,,,Month-to-month,Yes,Credit card (automatic),,2723.15,No
0945-TSONX,Female,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,No
2651-ZCBXV,,Yes,,,Two year,Yes,Credit card (automatic),,5760.65,No
3316-UWXUY,Male,Yes,,,Month-to-month,Yes,Credit card (automatic),,4747.5,No
8937-RDTHP,Male,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,84.6,84.6,Yes
7083-MIOPC,,Yes,,,Two year,No,Credit card (automatic),,1566.9,No
1984-GPTEH,Female,Yes,No,No internet service,Month-to-month,No,Electronic check,25.15,702,No
1251-KRREG,Male,Yes,DSL,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes
0621-JFHOL,Female,No,DSL,No,Two year,Yes,Mailed check,29.6,299.05,No
9903-LYSAB,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,73.15,1305.95,No
0094-OIFMO,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes
9227-UAQFT,,Yes,,,Two year,No,Mailed check,,284.35,No
7301-ABVAD,Female,Yes,DSL,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5,No
6614-FHDBO,Male,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,No
7576-ASEJU,Female,Yes,DSL,Yes,One year,Yes,Credit card (automatic),74.7,3187.65,No
9058-HRZSV,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,94.4,6126.15,No
4522-AKYLR,Female,Yes,DSL,No,Month-to-month,Yes,Electronic check,54.8,731.3,No
0221-WMXNQ,,Yes,,,Month-to-month,No,Electronic check,,273.4,No
0303-UNCIP,Male,Yes,DSL,No,One year,No,Mailed check,65,2531.8,No
9947-OTFQU,,Yes,,,Month-to-month,Yes,Electronic check,,1074.3,Yes
0322-YINQP,Male,Yes,,,Month-to-month,Yes,Mailed check,,48.55,Yes
0959-WHOKV,Male,Yes,Fiber optic,No,One year,Yes,Electronic check,99,4298.45,No
4075-JFPGR,Female,Yes,Fiber optic,Yes,One year,Yes,Electronic check,93.5,4619.55,No
4629-NRXKX,Female,Yes,Fiber optic,No,Month-to-month,No,Electronic check,70.4,147.15,Yes
9514-JDSKI,Male,No,DSL,,Month-to-month,No,Electronic check,,40.2,Yes
3282-ZISZV,Male,Yes,DSL,Yes,One year,No,Credit card (automatic),83.7,2633.3,No
3675-YDUPJ,Male,Yes,No,,Month-to-month,Yes,Mailed check,,193.05,No
4111-BNXIF,Female,No,DSL,Yes,Two year,Yes,Electronic check,59.55,4103.9,No
7017-VFHAY,Female,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic),115.1,7008.15,No
6655-LHBYW,Male,Yes,Fiber optic,Yes,One year,No,Credit card (automatic),114.35,5791.1,No
4959-JOSRX,Female,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes
5046-NUHWD,Female,No,DSL,,Month-to-month,Yes,Electronic check,,1228.65,No
7273-TEFQD,Male,No,DSL,No,Month-to-month,Yes,Electronic check,41.15,132.2,Yes
3606-TWKGI,Male,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes
7529-ZDFXI,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,89.85,4925.35,No
7605-BDWDC,,No,,,Two year,Yes,Bank transfer (automatic),,1520.1,No
1950-KSVVJ,Female,Yes,Fiber optic,Yes,One year,No,Mailed check,113.3,5032.25,No
0123-CRBRT,Female,Yes,DSL,,Two year,No,Mailed check,,5526.75,No
6292-TOSSS,Male,Yes,No,No internet service,Two year,No,Bank transfer (automatic),24.9,1195.25,No
3197-ARFOY,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check,105,2007.25,No
6323-AYBRX,Male,Yes,No,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes
7014-ZZXAW,Female,Yes,No,No internet service,Two year,Yes,Credit card (automatic),24.25,1732.95,No
4385-GZQXV,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes
7633-MVPUY,Male,Yes,DSL,No,Two year,Yes,Electronic check,59.75,3450.15,No
6366-ZGQGL,Male,No,DSL,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes
4716-HHKQH,Male,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,107.05,2172.05,No
5940-AHUHD,Male,Yes,Fiber optic,No,Month-to-month,No,Mailed check,70.6,70.6,Yes
6432-TWQLB,Male,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes
4484-GLZOU,Female,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes
3179-GBRWV,Male,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic),64.95,1339.8,No
8645-KWHJO,Male,No,DSL,Yes,Month-to-month,Yes,Electronic check,55,771.95,No
4130-MZLCC,Female,Yes,DSL,,Month-to-month,No,Bank transfer (automatic),,244.75,No
0314-TKOSI,Female,Yes,DSL,No,Month-to-month,No,Mailed check,55.15,322.9,No
